x,y,reward,collision
-0.00,0.46,1.80,
0.01,0.79,2.29,
0.05,1.21,2.79,
0.06,1.67,2.76,
0.14,2.15,3.23,
0.33,2.70,3.62,
0.65,3.27,4.16,
1.21,3.97,4.80,
1.82,4.57,5.39,
2.50,5.23,6.11,
3.32,5.90,6.33,
4.40,6.90,6.07,
5.19,7.53,5.99,
5.93,8.19,5.94,
6.68,8.84,5.92,
7.58,9.58,5.80,
8.39,10.13,5.99,
9.17,10.72,5.99,
10.00,11.29,5.92,
10.89,12.11,6.03,
11.54,12.91,6.07,
12.32,13.88,6.40,
12.89,14.77,6.54,
13.49,15.67,6.54,
14.04,16.62,6.62,
14.58,17.57,6.64,
15.02,18.58,6.50,
15.30,19.63,6.65,
15.59,20.70,6.68,
15.79,21.78,6.69,
16.10,23.08,6.52,
16.46,24.13,6.78,
16.81,25.18,6.69,
17.27,26.19,6.68,
17.91,27.09,6.57,
18.70,27.84,6.36,
19.61,28.44,6.62,
20.69,29.20,6.64,
21.60,29.82,6.47,
22.57,30.33,6.48,
23.59,30.70,6.60,
24.63,31.06,6.58,
25.90,31.41,6.42,
27.14,31.82,6.71,
28.19,32.18,6.70,
29.21,32.61,6.72,
30.45,33.08,6.69,
31.74,33.44,6.56,
32.80,33.77,6.65,
34.04,34.24,6.68,
35.11,34.51,6.60,
36.20,34.65,6.67,
36.85,34.85,0.03,Cone4
-0.00,0.25,1.37,
0.02,0.58,1.98,
0.07,0.94,2.49,
0.08,1.39,2.78,
0.06,1.85,2.97,
0.08,2.38,3.49,
0.07,3.13,4.05,
0.19,3.97,4.53,
0.42,4.73,5.05,
0.65,5.58,5.70,
0.88,6.55,6.33,
1.12,7.58,6.47,
1.39,8.60,6.50,
1.81,9.86,6.52,
2.23,11.08,6.44,
2.73,12.25,6.29,
3.06,13.45,6.11,
3.16,14.27,6.01,
3.30,15.28,6.10,
3.48,16.28,6.16,
3.72,17.28,6.13,
3.89,18.08,6.15,
4.06,19.09,6.13,
4.33,20.09,6.18,
4.77,21.25,6.34,
5.06,22.26,6.36,
5.26,23.30,6.44,
5.48,24.35,6.34,
5.69,25.41,6.36,
5.77,26.48,6.47,
5.64,27.78,6.65,
5.56,28.88,6.65,
5.55,29.99,6.76,
5.50,31.09,6.78,
5.52,32.44,6.76,
5.49,33.57,6.75,
5.39,34.68,6.83,
5.32,35.80,6.81,
5.24,36.93,6.70,
5.14,38.05,6.72,
4.97,39.16,6.84,
4.83,40.73,6.71,
4.62,41.83,6.60,
4.27,42.88,6.73,
3.92,43.94,6.71,
3.46,44.95,6.58,
2.88,45.88,6.58,
2.33,46.84,6.51,
1.84,47.83,6.50,
1.19,48.97,6.62,
0.67,49.94,6.63,
0.11,50.89,6.68,
-0.37,51.88,6.61,
-0.84,53.33,6.66,
-1.20,54.37,6.49,
-1.56,55.41,6.68,
-1.92,56.45,6.72,
-2.27,57.50,6.64,
-2.55,58.57,6.61,
-2.85,59.63,6.55,
-3.24,60.89,6.65,
-3.66,61.92,6.69,
-4.06,62.96,6.64,
-4.44,63.99,6.58,
-4.74,65.05,6.63,
-5.15,66.07,6.64,
-5.71,67.01,6.47,
-6.42,67.83,6.64,
-7.13,68.67,6.58,
-8.07,69.89,6.53,
-8.66,70.81,6.65,
-9.25,71.74,6.67,
-9.80,72.70,6.57,
-10.63,74.00,6.46,
-11.28,75.15,6.74,
-11.92,76.32,6.67,
-12.36,77.34,6.66,
-12.85,78.34,6.65,
-13.44,79.27,6.53,
-14.15,80.10,6.66,
-14.86,80.96,6.65,
-15.55,81.82,6.64,
-16.24,82.68,6.61,
-16.92,83.55,6.70,
-17.49,84.49,6.54,
-17.92,85.50,6.53,
-18.38,86.51,6.51,
-18.85,87.51,6.63,
-19.33,88.51,6.71,
-19.87,89.47,6.73,
-20.48,90.65,6.66,
-20.99,91.88,6.69,
-21.48,92.88,6.62,
-21.88,93.91,6.54,
-22.17,95.20,6.72,
-22.41,96.28,6.71,
-22.60,97.38,6.65,
-22.88,98.45,6.50,
-23.33,99.45,6.55,
-23.96,100.33,6.39,
-24.73,101.10,6.54,
-25.50,101.88,6.59,
-26.43,102.81,6.54,
-27.26,103.51,6.63,
-28.06,104.26,6.62,
-28.94,104.91,6.54,
-29.91,105.40,6.38,
-30.95,105.68,6.33,
-32.02,105.76,6.37,
-33.30,105.64,6.58,
-34.38,105.61,6.54,
-35.46,105.72,6.41,
-36.50,106.00,6.48,
-37.56,106.25,6.57,
-38.65,106.36,6.39,
-39.92,106.22,6.41,
-40.96,105.91,6.55,
-42.01,105.61,6.49,
-43.06,105.30,6.51,
-44.09,104.93,6.61,
-45.14,104.60,6.62,
-46.17,104.22,6.62,
-47.23,103.90,6.61,
-48.27,103.54,6.67,
-49.34,103.29,6.62,
-50.44,103.18,6.70,
-51.53,103.01,6.61,
-52.61,102.78,6.61,
-53.69,102.60,6.71,
-54.78,102.39,6.72,
-55.83,102.06,6.50,
-56.97,101.42,6.51,
-57.80,100.71,6.65,
-58.65,100.01,6.55,
-59.50,99.31,6.58,
-60.26,98.52,6.55,
-60.95,97.42,6.38,
