x,y,reward,collision
-0.00,0.35,1.59,
0.02,0.72,2.19,
0.14,1.19,2.68,
0.31,1.61,2.78,
0.47,2.09,3.31,
0.72,2.62,3.71,
1.11,3.15,4.19,
1.64,3.68,4.71,
2.30,4.20,5.38,
3.00,4.81,6.12,
3.79,5.50,6.37,
4.66,6.11,6.09,
5.57,6.57,6.12,
6.45,7.06,5.93,
7.23,7.65,5.84,
7.88,8.36,5.47,
8.37,9.17,5.72,
8.70,10.06,5.74,
8.88,11.01,5.73,
8.85,12.16,5.81,
8.68,13.13,6.01,
8.49,14.31,5.96,
8.20,15.32,6.58,
7.75,16.37,7.22,
7.25,17.50,7.68,
6.61,18.62,7.90,
5.80,19.68,8.19,
4.83,21.00,8.08,
4.03,22.36,7.69,
3.34,23.42,7.47,
2.56,24.67,7.18,
1.95,25.68,6.94,
1.46,26.72,6.76,
1.16,28.00,6.42,
1.14,29.06,6.30,
1.38,30.28,5.91,
1.75,31.23,6.08,
2.07,32.19,5.97,
2.28,33.38,5.93,
2.24,34.37,5.92,
2.01,35.34,5.85,
1.63,36.27,6.05,
1.24,37.21,6.10,
0.76,38.12,6.22,
0.32,39.06,6.26,
-0.22,39.95,6.30,
-0.91,40.74,6.23,
-1.75,41.37,6.12,
-2.69,41.83,6.35,
-3.71,42.11,6.32,
-4.77,42.22,6.57,
-5.86,42.32,6.62,
-6.95,42.27,6.44,
-8.00,42.00,6.43,
-8.98,41.54,6.41,
-9.85,40.90,6.56,
-10.59,40.10,6.45,
-11.16,39.18,6.49,
-11.55,38.16,6.39,
-11.74,37.09,6.46,
-11.72,36.01,6.47,
-11.45,34.73,6.53,
-11.19,33.66,6.57,
-10.78,32.64,6.48,
-10.21,31.70,6.69,
-9.64,30.75,6.62,
-9.06,29.80,6.68,
-8.38,28.92,6.68,
-7.55,28.19,6.52,
-6.60,27.65,6.46,
-5.57,27.30,6.37,
-4.28,27.14,6.43,
-3.20,27.21,6.63,
-2.11,27.30,6.58,
-0.81,27.56,6.56,
0.27,27.76,6.56,
1.34,28.00,6.66,
2.44,28.17,6.67,
3.52,28.39,6.66,
4.62,28.50,6.63,
5.71,28.41,6.45,
6.76,28.14,6.54,
7.81,27.84,6.54,
8.99,27.29,6.37,
9.83,26.63,6.42,
10.57,25.84,6.54,
11.29,25.03,6.54,
11.94,24.15,6.54,
12.83,23.18,6.47,
13.68,22.51,6.43,
14.65,22.03,6.31,
15.68,21.76,6.46,
16.75,21.68,6.41,
17.82,21.80,6.40,
18.84,22.12,6.36,
19.79,22.60,6.55,
20.76,23.11,6.54,
21.64,23.75,6.45,
22.37,24.54,6.47,
22.94,25.46,6.39,
23.31,26.46,6.44,
23.50,27.52,6.36,
23.48,28.81,6.46,
23.43,29.89,6.55,
23.23,30.97,6.53,
22.71,32.16,6.42,
22.08,33.04,6.49,
21.13,33.91,6.47,
20.20,34.46,6.36,
19.18,34.81,6.38,
18.12,35.01,6.50,
17.04,35.22,6.66,
15.97,35.47,6.72,
14.93,35.84,6.63,
13.98,36.40,6.46,
13.03,37.29,6.38,
12.25,38.34,6.60,
11.57,39.20,6.59,
10.90,40.08,6.65,
10.34,41.03,6.51,
9.92,42.25,6.49,
9.80,43.32,6.44,
9.86,44.63,6.52,
9.86,45.72,6.61,
9.70,46.81,6.51,
9.34,47.82,6.38,
8.79,48.74,6.34,
8.08,49.54,6.32,
7.08,50.35,6.50,
6.24,51.04,6.38,
5.34,51.63,6.44,
4.36,52.09,6.51,
3.38,52.56,6.60,
2.35,52.92,6.57,
1.28,53.13,6.55,
0.20,53.35,6.60,
-1.12,53.51,6.64,
-2.21,53.74,6.61,
-3.24,54.14,6.48,
-4.16,54.73,6.56,
-4.95,55.49,6.43,
-5.60,56.37,6.75,
-6.28,57.25,6.76,
-7.09,58.33,6.64,
-7.68,59.27,6.71,
-8.31,60.19,6.74,
-9.02,61.32,6.63,
-9.72,62.17,6.62,
-10.55,62.87,6.46,
-11.50,63.38,6.44,
-12.53,63.70,6.24,
-13.58,63.81,6.34,
-14.85,63.69,6.40,
-15.86,63.38,6.40,
-16.97,62.75,6.42,
-17.91,61.89,6.33,
-18.54,61.02,6.24,
-18.99,60.06,6.44,
-19.28,58.80,6.35,
-19.34,57.73,6.49,
-19.37,56.64,6.59,
-19.30,55.55,6.62,
-19.28,54.45,6.69,
-19.10,53.13,6.48,
-18.64,51.91,6.46,
-18.05,51.00,6.40,
-17.30,50.22,6.43,
-16.42,49.60,6.41,
-15.44,49.16,6.36,
-14.40,48.88,6.59,
-13.33,48.62,6.53,
-12.25,48.46,6.68,
-11.15,48.25,6.63,
-10.05,48.10,6.64,
-8.75,47.85,6.73,
-7.64,47.76,6.64,
-6.54,47.86,6.50,
-5.51,48.18,6.42,
-4.38,48.82,6.38,
-3.57,49.52,6.47,
-2.79,50.56,6.35,
-2.34,51.53,6.35,
-2.09,52.57,6.40,
-2.03,53.64,6.34,
-2.23,54.91,6.32,
-2.61,55.91,6.41,
-3.31,56.99,6.46,
-4.07,57.75,6.43,
-4.96,58.36,6.40,
-5.94,58.78,6.37,
-6.99,59.01,6.45,
-8.06,59.04,6.44,
-9.12,58.86,6.38,
-10.13,58.49,6.28,
-11.22,57.80,6.42,
-11.99,57.05,6.48,
-12.64,56.19,6.42,
-13.39,55.10,6.60,
-13.85,54.11,6.55,
-14.11,53.05,6.55,
-14.19,51.96,6.70,
-14.34,50.64,6.68,
-14.58,49.55,6.82,
