x,y,reward,collision
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
-0.00,0.00,0.11,
0.04,0.00,0.56,
0.14,0.02,0.99,
0.29,0.07,1.38,
0.49,0.17,1.79,
0.73,0.31,2.24,
1.02,0.48,2.76,
1.37,0.62,2.82,
1.74,0.73,3.05,
2.14,0.88,3.48,
2.61,1.03,3.91,
3.12,1.22,4.30,
3.65,1.47,4.63,
4.21,1.79,5.05,
4.82,2.13,5.28,
5.43,2.57,5.93,
6.02,3.15,6.15,
6.56,3.78,6.05,Street_Sign_7
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,0.01,0.92,
0.25,0.01,1.35,
0.45,0.02,1.79,
0.71,0.03,2.19,
1.02,0.09,2.54,
1.37,0.17,2.78,
1.73,0.23,2.89,
2.12,0.33,3.24,
2.54,0.51,3.56,
2.97,0.78,3.96,
3.43,1.11,4.48,
3.93,1.48,4.87,
4.45,1.90,5.36,
5.05,2.31,5.80,
5.75,2.73,6.30,
6.44,3.19,6.30,
7.13,3.67,6.25,
7.80,4.12,5.72,
8.43,4.53,5.66,
9.06,4.85,5.15,
9.67,5.04,4.56,Hedge_27
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.46,
0.11,0.02,0.94,
0.25,0.04,1.35,
0.45,0.09,1.73,
0.69,0.19,2.09,
0.97,0.33,2.61,
1.32,0.43,2.78,
1.68,0.51,2.89,
2.07,0.62,3.32,
2.52,0.74,3.72,
3.00,0.93,4.06,
3.51,1.17,4.49,
4.08,1.39,4.84,
4.72,1.57,5.21,
5.43,1.65,5.48,
6.19,1.60,6.06,
7.00,1.48,6.22,
7.81,1.33,6.22,
8.58,1.07,5.87,
9.29,0.73,5.85,
10.00,0.42,5.82,
10.72,0.15,5.67,
11.43,-0.11,5.76,
12.17,-0.29,5.49,
12.91,-0.37,5.66,
13.68,-0.35,5.81,
14.46,-0.36,5.85,
15.25,-0.38,6.07,
16.05,-0.31,5.83,
16.83,-0.13,6.06,
17.59,0.15,6.21,
18.36,0.46,6.16,
19.11,0.83,6.44,
19.88,1.20,6.39,
20.62,1.64,6.30,
21.29,2.17,6.39,
21.90,2.82,6.74,
22.57,3.46,7.07,
23.24,4.13,7.33,
24.01,4.72,7.43,
24.58,4.99,2.51,Hedge_25
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.01,0.48,
0.11,-0.01,0.93,
0.25,-0.01,1.35,
0.45,-0.02,1.77,
0.71,0.02,2.14,
1.01,0.10,2.48,
1.33,0.25,2.64,
1.66,0.41,2.90,
2.05,0.54,3.33,
2.49,0.69,3.73,
2.97,0.87,4.14,
3.52,1.05,4.56,
4.11,1.25,4.93,
4.74,1.49,5.48,
5.44,1.73,5.70,
6.19,2.01,6.06,
6.95,2.32,6.16,
7.73,2.63,6.29,
8.51,2.90,6.11,
9.30,3.14,6.16,
10.05,3.42,6.22,
10.82,3.78,6.19,
11.56,4.20,6.65,
12.34,4.63,6.84,
13.06,5.06,2.82,Hedge_27
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.45,
0.11,0.05,0.96,
0.26,0.06,1.41,
0.46,0.08,1.82,
0.72,0.11,2.24,
1.04,0.14,2.63,
1.40,0.19,2.82,
1.78,0.22,2.93,
2.18,0.28,3.36,
2.65,0.32,3.78,
3.17,0.37,4.17,
3.74,0.36,4.50,
4.37,0.30,4.92,
5.04,0.27,5.49,
5.78,0.25,5.74,
6.59,0.20,6.08,
7.39,0.08,6.17,
8.16,-0.15,5.88,
8.86,-0.49,5.64,
9.51,-0.90,5.79,
10.15,-1.32,5.55,
10.75,-1.79,5.54,
11.36,-2.24,5.78,
11.96,-2.72,5.92,
12.57,-3.21,5.71,
13.17,-3.72,5.94,
13.79,-4.22,6.02,
14.43,-4.74,6.28,
15.15,-5.19,6.50,
15.93,-5.59,6.87,
16.73,-6.08,7.04,
17.53,-6.59,6.92,
18.34,-7.04,7.22,
18.97,-7.25,3.74,Wall_Low_41
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.01,0.45,
0.11,-0.05,0.96,
0.26,-0.06,1.39,
0.46,-0.06,1.80,
0.72,-0.08,2.20,
1.03,-0.08,2.59,
1.39,-0.11,2.76,
1.76,-0.11,2.90,
2.17,-0.11,3.30,
2.63,-0.10,3.70,
3.14,-0.10,4.10,
3.70,-0.06,4.44,
4.31,0.03,4.85,
4.97,0.08,5.25,
5.69,0.09,5.75,
6.49,0.10,6.07,
7.29,0.03,6.15,
8.08,-0.14,5.97,
8.81,-0.44,5.91,
9.51,-0.81,5.97,
10.19,-1.20,5.77,
10.84,-1.63,5.81,
11.49,-2.05,5.81,
12.09,-2.53,5.73,
12.66,-3.06,5.80,
13.28,-3.53,5.92,
13.92,-3.97,5.90,
14.53,-4.50,6.05,
15.14,-5.06,6.44,
15.84,-5.60,6.71,
16.56,-6.12,7.00,
17.32,-6.65,7.09,
18.13,-7.15,-0.01,Wall_Low_41
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,-0.00,0.92,
0.25,-0.03,1.33,
0.45,-0.06,1.77,
0.70,-0.08,2.17,
1.01,-0.15,2.53,
1.34,-0.27,2.63,
1.66,-0.44,2.72,
1.98,-0.67,3.17,
2.35,-0.95,3.70,
2.77,-1.26,4.11,
3.21,-1.62,4.54,
3.72,-1.97,4.87,
4.31,-2.28,5.22,
4.98,-2.55,5.69,
5.68,-2.91,6.23,
6.38,-3.36,6.15,
7.03,-3.86,6.20,
7.73,-4.32,6.10,
8.44,-4.74,6.38,
9.14,-5.19,6.16,
9.81,-5.67,6.28,
10.48,-6.15,6.09,
11.13,-6.65,6.36,
11.82,-7.12,-0.04,Wall_Low_42
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.00,0.47,
0.11,-0.00,0.93,
0.25,-0.00,1.37,
0.46,-0.01,1.78,
0.72,-0.03,2.20,
1.03,-0.00,2.57,
1.38,0.04,2.78,
1.75,0.04,2.88,
2.15,-0.01,3.23,
2.59,-0.12,3.55,
3.05,-0.32,3.95,
3.55,-0.58,4.47,
4.11,-0.83,4.87,
4.74,-1.07,5.30,
5.42,-1.31,5.80,
6.17,-1.60,6.21,
6.94,-1.87,6.32,
7.72,-2.11,6.08,
8.49,-2.42,6.04,
9.20,-2.81,5.93,
9.83,-3.29,5.91,
10.36,-3.86,5.73,
10.83,-4.50,5.91,
11.33,-5.17,6.07,
11.76,-5.88,6.55,
12.25,-6.59,6.71,
12.61,-6.77,-0.68,Wall_Low_42
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.01,0.46,
0.11,0.02,0.94,
0.25,0.04,1.35,
0.45,0.09,1.73,
0.69,0.19,2.09,
0.96,0.34,2.52,
1.28,0.53,2.86,
1.62,0.71,2.95,
1.98,0.92,3.40,
2.41,1.12,3.82,
2.89,1.35,4.21,
3.40,1.62,4.62,
3.97,1.90,5.02,
4.58,2.23,5.52,
5.20,2.65,5.89,
5.85,3.18,6.26,
6.50,3.67,6.11,
7.13,4.22,6.29,
7.76,4.74,5.79,
8.14,4.92,1.12,Hedge_27
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,0.01,0.92,
0.25,-0.01,1.34,
0.45,-0.04,1.78,
0.71,-0.05,2.21,
1.02,-0.04,2.60,
1.39,-0.03,2.79,
1.75,-0.06,2.86,
2.14,-0.15,3.20,
2.56,-0.32,3.55,
3.01,-0.57,3.98,
3.47,-0.89,4.42,
3.93,-1.30,4.84,
4.40,-1.80,5.39,
4.94,-2.30,5.85,
5.55,-2.83,6.43,
6.18,-3.40,6.33,
6.82,-3.94,6.43,
7.45,-4.53,6.44,
8.12,-5.09,6.38,
8.80,-5.63,6.60,
9.49,-6.13,6.44,
10.25,-6.55,6.52,
10.98,-6.99,6.50,
11.37,-7.11,1.73,Wall_Low_42
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,0.00,0.47,
0.11,0.02,0.90,
0.25,0.05,1.37,
0.45,0.08,1.77,
0.71,0.11,2.18,
1.01,0.14,2.56,
1.37,0.18,2.76,
1.73,0.20,2.86,
2.14,0.21,3.27,
2.59,0.24,3.68,
3.10,0.26,4.06,
3.66,0.31,4.45,
4.27,0.33,4.83,
4.93,0.38,5.27,
5.65,0.41,5.75,
6.43,0.53,6.25,
7.21,0.74,5.99,
7.95,1.04,6.02,
8.70,1.31,5.95,
9.45,1.55,5.74,
10.19,1.71,5.50,
10.93,1.81,5.72,
11.67,1.92,5.50,
12.42,2.00,5.73,
13.16,2.15,5.65,
13.88,2.39,5.60,
14.60,2.73,6.02,
15.36,3.02,6.24,
16.15,3.31,6.72,
17.01,3.58,6.97,
17.91,3.82,6.82,
18.80,4.09,6.97,
19.68,4.44,6.96,
20.53,4.82,7.11,
21.27,5.15,3.37,Hedge_25
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,-0.00,
-0.00,0.00,0.00,
0.02,-0.00,0.47,
0.11,-0.01,0.92,
0.25,-0.04,1.32,
0.45,-0.08,1.78,
0.71,-0.10,2.21,
1.02,-0.13,2.60,
1.38,-0.17,2.79,
1.75,-0.20,2.92,
2.15,-0.22,3.31,
2.62,-0.23,3.72,
