x,y,reward,collision
-0.00,0.35,0.35,
-0.01,0.65,0.65,
-0.05,1.11,1.12,
-0.05,1.66,1.66,
-0.12,2.15,2.16,
-0.26,2.72,2.74,
-0.53,3.48,3.55,
-1.13,4.59,4.81,
-1.48,5.61,5.90,
-1.70,6.60,6.91,
-1.87,7.66,7.98,
-2.14,8.91,9.26,
-2.45,9.91,10.31,
-2.76,11.11,11.55,
-2.87,12.31,12.75,
-2.75,13.29,13.74,
-2.47,14.23,14.72,
-2.13,15.37,15.91,
-1.91,16.36,16.92,
-1.67,17.33,17.92,
-1.39,18.53,19.15,
-1.15,19.54,20.19,
-0.89,20.76,21.44,
-0.80,22.03,22.71,
-0.80,23.09,23.77,
-0.74,24.17,24.86,
-0.71,25.26,25.95,
-0.74,26.57,27.26,
-0.70,27.67,28.36,
-0.70,28.78,29.46,
-0.65,30.10,30.79,
-0.69,31.22,31.90,
-0.69,32.33,33.02,
-0.61,33.67,34.36,
-0.62,34.79,35.48,
-0.59,36.14,36.83,
-0.70,37.25,37.94,
-1.01,38.31,39.05,
-1.59,39.49,40.37,
-2.33,40.59,41.69,
-3.11,41.35,42.78,
-4.19,42.09,44.09,
-5.09,42.71,45.19,
-6.05,43.24,46.28,
-7.28,43.69,47.59,
-8.31,44.11,48.70,
-9.35,44.47,49.80,
-10.60,44.89,51.12,
-11.67,45.15,52.22,
-12.72,45.45,53.32,
-13.73,45.88,54.41,
-14.67,46.43,55.51,
-15.63,46.98,56.61,
-16.81,47.58,57.93,
-17.83,48.00,59.04,
-19.04,48.58,60.38,
-20.07,49.03,61.50,
-21.12,49.42,62.62,
-22.36,49.94,63.97,
-23.32,50.50,65.08,
-24.35,51.35,66.41,
-25.37,52.21,67.75,
-26.12,53.02,68.85,
-26.69,53.95,69.94,
-27.09,54.96,71.03,
-27.54,56.19,72.34,
-28.03,57.16,73.42,
-28.78,58.23,74.73,
-29.60,59.25,76.04,
-30.17,60.17,77.13,
-30.68,61.15,78.22,
-31.34,62.30,79.55,
-31.77,63.31,80.65,
-32.14,64.58,81.97,
-32.36,65.89,83.30,
-32.46,66.98,84.39,
-32.58,68.31,85.73,
-32.59,69.65,87.07,
-32.73,70.75,88.18,
-33.06,72.04,89.51,
-33.40,73.33,90.84,
-33.77,74.38,91.95,
-34.13,75.43,93.07,
-34.71,76.62,94.39,
-35.27,77.57,95.50,
-35.87,78.75,96.82,
-36.36,79.74,97.93,
-36.80,80.76,99.04,
-37.37,81.96,100.36,
-37.93,82.92,101.48,
-38.58,84.09,102.81,
-39.19,85.27,104.15,
-39.72,86.50,105.47,
-40.21,87.48,106.58,
-40.78,88.68,107.91,
-41.36,89.61,109.00,
-42.02,90.51,110.11,
-42.66,91.40,111.22,
-43.36,92.26,112.32,
-44.20,93.29,113.65,
-44.99,94.06,114.75,
-46.06,94.84,116.07,
-46.95,95.50,117.18,
-47.87,96.10,118.28,
-48.89,96.94,119.60,
-49.63,97.75,120.70,
-50.40,98.53,121.80,
-51.29,99.50,123.11,
-51.97,100.36,124.21,
-52.81,101.37,125.53,
-53.52,102.48,126.84,
-54.04,103.45,127.94,
-54.65,104.37,129.05,
-55.49,105.38,130.37,
-56.18,106.25,131.47,
-56.92,107.06,132.57,
-57.76,108.08,133.89,
-58.49,108.90,134.99,
-59.30,109.63,136.08,
-60.38,110.36,137.38,
-61.24,111.03,138.47,
-62.00,111.80,139.56,
-62.69,112.90,140.85,
-63.06,113.91,141.93,
-63.30,115.17,143.22,
-63.53,116.24,144.31,
-63.79,117.31,145.41,
-64.18,118.56,146.72,
-64.49,119.62,147.82,
-64.90,120.88,149.15,
-65.36,121.87,150.24,
-65.89,122.84,151.35,
-66.47,124.04,152.68,
-66.98,125.03,153.79,
-67.59,125.95,154.89,
-68.48,126.94,156.22,
-69.20,127.77,157.33,
-70.13,128.73,158.66,
-70.80,129.61,159.76,
-71.35,130.56,160.86,
-71.94,131.75,162.19,
-72.44,132.74,163.30,
-72.88,133.75,164.40,
-73.35,134.47,165.26,(null)
-0.00,0.30,152.91,
-0.00,0.65,153.26,
-0.01,1.04,153.64,
-0.06,1.49,154.10,
-0.06,1.97,154.58,
-0.18,2.63,155.25,
-0.38,3.24,155.89,
-0.56,3.95,156.62,
-0.82,4.90,157.61,
-1.13,5.77,158.53,
-1.55,6.93,159.77,
-2.13,8.05,161.03,
-2.66,8.92,162.05,
-3.13,9.81,163.05,
-3.74,10.82,164.24,
-4.16,11.69,165.20,
-4.64,12.54,166.17,
-5.16,13.58,167.34,
-5.53,14.49,168.33,
-5.95,15.39,169.32,
-6.32,16.54,170.53,
-6.47,17.55,171.54,
-6.68,18.57,172.58,
-7.02,19.79,173.85,
-7.27,20.82,174.91,
-7.45,21.88,175.98,
-7.74,23.15,177.28,
-7.99,24.21,178.38,
-8.31,25.26,179.48,
-8.56,26.57,180.81,
-8.62,27.67,181.91,
-8.68,28.79,183.03,
-8.61,29.89,184.14,
-8.27,31.16,185.45,
-7.80,32.14,186.54,
-7.34,33.15,187.65,
-6.95,34.42,188.97,
-6.71,35.51,190.09,
-6.47,36.60,191.20,
-6.35,37.93,192.54,
-6.45,39.02,193.64,
-6.59,40.12,194.75,
-6.72,41.45,196.08,
-6.96,42.53,197.18,
-7.30,43.58,198.29,
-7.79,44.81,199.61,
-8.07,45.88,200.73,
-8.23,46.97,201.83,
-8.35,48.30,203.16,
-8.53,49.40,204.27,
-8.61,50.73,205.61,
-8.57,52.07,206.94,
-8.54,53.18,208.06,
-8.45,54.29,209.17,
-8.39,55.40,210.29,
-8.40,56.74,211.62,
-8.28,57.83,212.72,
-8.03,58.90,213.82,
-7.73,60.19,215.15,
-7.38,61.24,216.25,
-7.09,62.30,217.35,
-6.89,63.60,218.67,
-6.81,64.70,219.77,
-6.66,65.80,220.88,
-6.51,67.12,222.21,
-6.39,68.22,223.31,
-6.41,69.32,224.41,
-6.63,70.61,225.72,
-6.94,71.66,226.81,
-7.40,72.64,227.90,
-7.97,73.82,229.21,
-8.55,74.75,230.31,
-9.05,75.73,231.40,
-9.47,76.75,232.51,
-9.90,77.76,233.61,
-10.27,78.80,234.71,
-10.72,79.80,235.81,
-11.42,80.91,237.12,
-12.06,81.79,238.21,
-12.62,82.74,239.32,
-13.10,83.74,240.42,
-13.72,84.90,241.74,
-14.17,85.91,242.84,
-14.66,86.91,243.95,
-15.20,88.13,245.28,
-15.72,89.10,246.39,
-16.15,90.12,247.50,
-16.46,91.18,248.60,
-16.81,92.22,249.70,
-17.14,93.28,250.81,
-17.40,94.36,251.92,
-17.84,95.61,253.25,
-18.31,96.61,254.35,
-18.67,97.65,255.45,
-18.96,98.94,256.77,
-19.29,99.99,257.87,
-19.70,101.01,258.97,
-20.17,102.26,260.30,
-20.58,103.29,261.41,
-21.05,104.29,262.52,
-21.64,105.49,263.85,
-22.37,106.60,265.18,
-23.08,107.45,266.29,
-23.86,108.22,267.39,
-24.70,108.94,268.49,
-25.50,109.70,269.60,
-26.37,110.69,270.92,
-27.10,111.52,272.02,
-27.93,112.56,273.35,
-28.67,113.39,274.47,
-29.37,114.25,275.57,
-30.25,115.26,276.91,
-31.05,116.02,278.02,
-31.85,116.82,279.14,
-32.79,117.77,280.48,
-33.60,118.54,281.60,
-34.45,119.26,282.71,
-35.42,120.16,284.04,
-36.13,121.01,285.15,
-36.78,121.89,286.25,
-37.68,122.86,287.57,
-38.53,123.56,288.67,
-39.35,124.30,289.77,
-40.20,125.31,291.09,
-40.83,126.20,292.19,
-41.52,127.07,293.29,
-42.11,128.00,294.39,
-42.63,128.97,295.49,
-43.24,129.89,296.60,
-44.13,130.86,297.91,
-45.00,131.51,298.99,
-45.90,132.13,300.09,
-46.74,132.84,301.18,
-47.51,133.60,302.28,
-48.32,134.33,303.37,
-48.72,134.50,303.79,(null)
-0.00,0.30,142.77,
0.01,0.58,143.05,
0.08,0.94,143.41,
0.24,1.45,143.95,
0.29,1.93,144.42,
0.30,2.48,144.98,
0.37,3.11,145.61,
0.40,3.82,146.32,
0.50,4.77,147.28,
0.54,5.66,148.17,
0.60,6.67,149.18,
0.72,7.93,150.44,
0.91,8.97,151.50,
0.99,10.01,152.54,
0.94,11.02,153.56,
0.66,12.18,154.75,
0.46,13.16,155.75,
0.29,14.34,156.94,
0.09,15.31,157.94,
-0.12,16.29,158.94,
-0.40,17.27,159.96,
-0.67,18.48,161.19,
-0.92,19.48,162.23,
-1.30,20.45,163.27,
-1.91,21.55,164.53,
-2.36,22.52,165.59,
-2.82,23.72,166.88,
-3.36,24.89,168.17,
-3.82,25.88,169.26,
-4.39,26.83,170.37,
-5.15,27.91,171.69,
-5.67,28.89,172.80,
-6.05,30.15,174.11,
-6.16,31.24,175.21,
-6.23,32.34,176.31,
-6.37,33.67,177.65,
-6.35,34.79,178.77,
-6.17,35.88,179.87,
-5.98,37.20,181.21,
-5.82,38.29,182.31,
-5.53,39.36,183.41,
-5.02,40.57,184.73,
-4.42,41.48,185.82,
-3.65,42.55,187.14,
-3.03,43.46,188.24,
-2.39,44.36,189.35,
-1.70,45.22,190.45,
-0.92,46.29,191.77,
-0.26,47.18,192.88,
0.39,48.06,193.97,
1.16,49.15,195.31,
1.71,50.12,196.42,
2.28,51.07,197.53,
2.89,52.26,198.87,
3.46,53.21,199.98,
4.02,54.17,201.09,
4.72,55.30,202.42,
5.41,56.16,203.52,
6.35,57.09,204.84,
7.40,57.91,206.17,
8.31,58.52,207.27,
9.21,59.18,208.38,
10.16,59.73,209.48,
11.39,60.16,210.78,
12.68,60.35,212.09,
13.76,60.53,213.19,
14.84,60.74,214.28,
16.12,61.06,215.61,
17.21,61.20,216.71,
18.32,61.21,217.81,
19.66,61.22,219.15,
20.77,61.14,220.26,
21.88,61.08,221.38,
22.97,60.89,222.48,
